20485,Program 13: Diverging Interests,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_13.xpls,13,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_13.xpls
20483,Program 12: Political Obstacles to High Speed Rail,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_12.xpls,12,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_12.xpls
20481,Program 11: Competing Sites of Authority,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_11.xpls,11,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_11.xpls
20479,Program 10: Private Regulation of Land Use,,,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_10.xpls
20477,Program 9: Shared Rail Corridors,,9,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_9.xpls
20475,Program 8: Light Rail,,8,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_8.xpls
20473,Program 7: The Public Regulation of Land Use,,7,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_7.xpls
20470,"Program 6: The Effects of Technology, Regulation, and Competition",/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_6.xpls,6,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_6.xpls
19223,Every Experience Matters!,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19195,World's Fastest 2-D Camera,,1506,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19094,Mars New Views,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
18653,"The Luminary, April 2015",/Volumes/HECTVLibrary/Playlists/sot_1504.xpls,1504,/Users/Administrator/Dropbox/Playlists/sot_1504.xpls
19149,In the Spotlight: First Run Theatre,,1410,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19152,In the Spotlight: Insight Theatre,,1407,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19156,In the Spotlight:  Mustard Seed Theatre,,1404,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19159,In the Spotlight: The Hawthorne Players,,1401,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19163,In the Spotlight: Dramatic License Theater,,1310,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19166,In the Spotlight: On Site Theater,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19169,In the Spotlight: HotCity,,1303,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19172,In the Spotlight: Stages,,1207,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19175,In the Spotlight: New Jewish Theatre,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19178,In the Spotlight: Metro Theater,,1203,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19182,In The Spotlight: Stray Dog Theatre,,1112,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19185,In the Spotlight: New Line Theatre,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19188,In the Spotlight: Upstream Theater,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19143,The Luminary,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19139,2015,,1506,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19130,"Classical Influence, June 2015",,1506,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19020,"Featuring Jazz Vocalist Feyza Eren & Her Quartet, June 2015",/Volumes/HECTVLibrary/Playlists/ilj_1506.xpls,1506,/Users/Administrator/Dropbox/Playlists/ilj_1506.xpls
16473,History in the First Person:Í_  Manifest Destiny and Westward Expansion,,150325,/Users/Administrator/Dropbox/Playlists/hlv_1503_manifest_destiny.xpls
19112,From Graduation to New Beginnings,/Volumes/HECTVLibrary/Playlists/I am Ladue (04).xpls,1504,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19107,"Open, preview & background on this UMSL themed program",,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19191,In the Spotlight: Imaginary Theatre Company,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
15122,"A Tribute to Rich McDonnell and the MAXJAZZ label, Featuring the MAXJAZZ All Stars, Bob DeBoo, July 2014",/Volumes/HECTVLibrary/Playlists/ILJ_1407.xpls,1407,/Users/Administrator/Dropbox/Playlists/ilj_1407.xpls
19104,Circus Flora Opening Weekend,series/state_of_the_arts/GoNow_1505_circusflora_1500.mp4,150530,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
3781,"Special Archives Addition of Unreleased Performances from 2012 Season, February 2013",/Volumes/HECTVLibrary/Playlists/ILJ (1302).xpls,1302,/Users/Administrator/Dropbox/Playlists/ilj_1302.xpls
19081,For Teachers: A One Minute Look at HEC-TV Live!,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19078,Sleeper Ship to Mars: Therapeutic Hypothermia,,1505,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19030,"Reviews of, Hairspray, Emmeline, My Fair Lady, and Others: June 25, 2015",,150625,/Users/Administrator/Dropbox/Playlists/tot_150625.xpls
19028,"Reviews of Smokey Joe's CafÍ—‘©, La rondine, Circus Flora, and others:  June 11, 2015",,150611,/Users/Administrator/Dropbox/Playlists/tot_150611.xpls
19026,One on One with Erik Larson,/Volumes/HECTVLibrary/Playlists/mtb_1506_erik_larson.xpls,1506,/Users/Administrator/Dropbox/Playlists/mtb_1506_erik_larson.xpls
19018,"Four short films from Webster U. filmmakers, June 2015",/Volumes/HECTVLibrary/Playlists/fra_1506.xpls,1506,/Users/Administrator/Dropbox/Playlists/fra_1506.xpls
19014,Elegy to Connie,/Volumes/HECTVLibrary/Playlists/liquidlight_elegy_to_connie.xpls,1506,/Users/Administrator/Dropbox/Playlists/liq_elegy_to_connie.xpls
19005,Spotlight Series of Short Documentaries,/Volumes/HECTVLibrary/Playlists/fra_1505_once_films.xpls,1505,/Users/Administrator/Dropbox/Playlists/fra_1505_once_films.xpls
